l1_size,vc_num_block,aat,area
10.0,0.0,0.7861,1.1710
11.0,0.0,0.7802,1.1760
12.0,0.0,0.7771,1.1970
13.0,0.0,0.7820,1.2169
14.0,0.0,0.7996,1.2674
15.0,0.0,0.8306,1.3744
10.0,2.0,0.7651,1.1717
11.0,2.0,0.7646,1.1767
12.0,2.0,0.7694,1.1976
13.0,2.0,0.7772,1.2176
14.0,2.0,0.7969,1.2681
15.0,2.0,0.8284,1.3751
10.0,3.0,0.7584,1.1724
11.0,3.0,0.7600,1.1774
12.0,3.0,0.7664,1.1983
13.0,3.0,0.7751,1.2182
14.0,3.0,0.7958,1.2688
15.0,3.0,0.8280,1.3758
10.0,4.0,0.7494,1.1735
11.0,4.0,0.7542,1.1785
12.0,4.0,0.7611,1.1994
13.0,4.0,0.7719,1.2194
14.0,4.0,0.7949,1.2699
15.0,4.0,0.8273,1.3769
